user_id,item_id
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
15,31
31,32
32,33
33,34
22,35
34,36
35,37
36,20
37,16
38,38
39,39
40,40
41,41
14,42
14,43
5,8
42,44
43,45
44,46
45,47
46,48
47,49
30,50
48,51
6,52
49,53
50,54
51,55
52,56
2,57
53,8
54,58
55,59
56,60
12,61
57,62
31,63
58,64
59,65
60,8
52,66
56,67
61,68
62,69
0,70
63,71
64,72
65,71
42,73
66,74
29,55
2,75
67,76
18,77
30,16
68,78
69,37
8,79
70,80
39,81
12,82
19,7
71,83
72,35
73,84
52,13
74,83
75,85
76,25
77,86
63,87
78,88
79,81
80,89
81,90
25,91
68,13
18,92
42,93
3,94
6,58
73,95
82,75
10,58
82,96
83,97
84,98
65,99
68,100
32,61
85,101
86,102
71,103
69,104
87,105
88,106
89,107
60,108
90,12
52,109
91,110
92,111
8,112
93,113
70,114
94,112
72,115
13,116
30,117
95,118
2,119
3,120
40,121
49,122
96,95
13,123
97,124
48,125
55,126
6,42
98,127
81,128
99,105
90,129
100,130
13,131
101,132
90,133
102,134
10,135
18,56
64,136
103,137
2,31
104,138
32,139
105,13
38,140
106,54
6,3
107,85
42,62
13,91
108,42
109,141
33,142
110,143
111,144
112,145
113,146
110,147
42,148
68,149
111,143
114,97
115,144
3,20
116,150
117,151
84,152
84,153
118,154
62,155
117,147
9,156
72,157
119,158
80,159
120,160
43,161
68,131
95,162
52,163
121,36
9,164
122,165
3,63
111,166
56,167
123,168
124,128
125,169
56,170
69,171
122,172
126,173
127,63
128,174
9,175
9,176
70,177
62,178
91,179
110,180
129,181
18,182
68,183
40,184
83,185
130,186
48,187
78,76
93,166
24,188
131,189
13,190
42,191
132,82
73,192
68,53
29,193
133,194
92,182
134,195
73,33
117,196
135,131
5,197
55,198
35,199
21,9
53,200
136,104
73,186
2,201
98,202
55,203
137,8
138,88
139,58
140,43
141,204
38,205
84,180
72,206
115,207
142,121
143,208
144,209
145,210
146,43
70,211
130,212
147,213
65,214
28,145
15,215
38,216
3,217
115,82
118,218
68,41
148,219
49,220
149,221
96,222
101,61
72,72
150,223
151,148
80,41
152,224
153,49
120,225
128,218
64,226
19,227
9,37
147,228
154,229
155,230
156,231
52,232
157,233
117,17
67,178
6,56
158,28
13,152
62,234
82,235
159,236
49,179
40,237
160,238
161,239
34,146
9,240
70,241
68,242
155,221
70,137
135,243
162,244
98,245
19,126
48,246
94,13
163,247
0,28
164,72
165,248
166,249
167,250
19,26
162,28
120,251
38,131
168,252
49,50
120,253
142,111
169,254
170,255
35,256
159,257
31,16
84,105
68,258
171,259
172,55
67,224
173,260
18,261
40,70
89,3
150,262
64,263
31,264
30,265
83,114
32,266
22,267
174,237
175,268
121,269
157,270
131,271
52,272
176,273
177,274
178,275
46,276
120,188
42,192
65,277
8,157
84,119
179,96
86,236
3,139
128,278
67,279
52,49
180,96
130,63
181,280
48,281
182,249
183,165
2,135
177,197
128,120
77,282
174,283
18,284
111,285
15,286
96,33
135,287
159,288
184,12
9,218
120,144
4,289
98,290
130,121
98,291
33,292
185,244
120,28
68,293
90,294
38,180
42,295
186,296
92,197
78,297
113,45
5,298
187,299
188,266
85,300
58,277
189,201
148,301
52,302
190,303
63,294
164,304
18,266
31,244
40,305
113,0
159,306
2,307
98,308
151,115
91,70
124,120
18,66
30,309
63,288
169,310
7,311
191,26
155,20
149,165
52,276
2,145
192,312
96,236
86,283
193,313
63,314
67,315
84,178
114,49
2,316
135,78
53,285
40,141
39,55
175,31
120,87
107,108
69,317
152,318
18,170
29,319
119,262
126,320
60,321
18,72
104,229
171,58
45,322
111,202
29,280
32,323
78,324
161,215
148,251
92,308
72,286
52,325
94,326
2,90
102,299
82,327
97,328
194,329
126,330
139,331
121,106
28,3
114,13
74,42
90,149
195,96
117,70
69,38
2,332
83,269
147,99
33,324
173,28
131,221
196,303
141,333
134,334
77,335
12,181
197,84
151,110
25,50
182,336
32,321
65,121
90,337
21,338
42,339
198,144
199,340
159,341
83,342
168,131
48,343
111,344
136,345
108,131
200,346
201,83
88,9
127,109
126,89
135,347
172,310
102,132
72,125
135,202
127,348
170,9
35,349
202,128
135,350
99,351
103,235
33,45
110,107
48,352
68,353
180,354
155,95
49,214
193,355
134,294
52,179
165,275
178,13
197,356
82,357
2,358
159,3
203,151
135,321
144,359
204,236
105,178
5,360
167,246
178,321
13,361
205,362
67,95
206,337
67,116
207,355
198,208
68,28
182,215
201,303
131,355
175,314
120,363
65,12
90,141
196,175
172,96
192,364
36,91
155,365
208,366
1,191
20,312
209,216
5,367
204,368
39,218
165,237
102,369
210,103
44,171
9,370
157,371
30,372
46,215
190,373
211,268
212,114
18,374
120,212
90,207
201,375
48,222
120,0
49,370
90,191
11,26
111,110
52,376
31,13
72,340
174,215
62,377
118,13
184,323
3,378
110,3
199,224
65,29
83,379
117,214
2,380
75,102
9,381
9,382
213,90
126,363
143,312
203,251
214,383
102,49
120,384
8,385
84,386
215,337
144,94
5,50
18,387
99,85
94,388
142,83
118,389
45,125
28,390
94,55
201,382
81,28
216,165
42,276
217,98
93,391
218,392
63,128
72,367
114,173
184,83
92,120
34,361
5,196
135,63
219,132
220,202
40,167
101,393
19,394
109,128
9,61
172,395
164,317
22,226
128,13
62,396
4,170
211,26
66,144
25,397
90,398
82,65
134,175
83,399
29,85
55,29
143,223
89,400
4,401
189,397
72,108
179,402
208,363
63,196
221,83
222,403
62,61
150,28
76,404
39,208
107,396
159,330
142,88
96,405
175,63
60,192
67,51
181,406
0,47
80,301
111,54
93,407
3,264
102,275
211,134
93,179
69,101
223,128
63,408
142,364
99,57
84,3
155,212
62,409
224,410
192,61
48,132
225,411
110,412
68,413
30,207
19,329
109,326
53,61
226,239
34,388
133,9
120,145
49,305
135,213
82,12
64,251
180,166
198,414
47,415
12,153
75,416
149,417
203,191
215,418
196,419
124,49
196,9
60,271
72,420
205,46
227,215
98,353
228,103
48,63
84,421
121,214
120,121
30,85
73,422
92,157
117,290
5,423
28,57
200,78
174,328
167,212
93,35
214,262
44,424
29,148
42,15
10,286
229,112
230,11
72,425
203,426
211,427
128,428
150,196
152,381
103,218
29,429
53,29
131,135
203,16
62,104
193,430
84,431
217,332
95,147
130,432
94,284
48,316
72,433
118,208
231,434
218,435
68,236
78,436
170,114
44,437
178,303
103,190
118,68
52,438
209,439
189,83
120,237
177,128
167,309
9,10
35,57
114,440
163,57
232,441
3,111
159,442
233,443
98,95
11,444
98,254
188,445
12,256
61,208
153,118
91,446
118,269
143,64
65,392
56,218
62,204
22,171
145,344
45,9
234,447
93,448
235,262
236,449
65,37
130,450
62,451
153,62
48,8
108,276
237,132
238,115
157,452
142,165
93,453
197,58
196,128
239,201
109,224
230,454
93,402
239,21
240,42
152,153
50,91
57,104
121,431
90,309
52,455
128,456
30,29
173,320
87,13
167,207
42,457
96,186
241,96
215,362
118,458
96,459
78,151
42,5
127,454
56,143
146,460
52,218
114,461
94,111
124,462
103,463
107,464
102,264
52,137
56,465
43,194
39,466
84,467
116,249
35,468
21,109
10,469
197,2
48,467
204,328
242,13
28,49
58,16
243,396
8,264
21,87
128,439
30,321
183,386
110,470
63,10
244,0
70,422
42,471
220,92
31,362
108,472
201,307
9,473
108,474
164,213
82,410
123,309
6,475
25,215
169,112
227,476
29,477
178,478
66,479
111,131
132,60
49,60
62,67
68,370
245,480
5,126
211,392
246,146
5,251
159,95
196,264
29,412
193,29
9,343
13,294
142,481
107,24
151,208
141,32
247,419
103,90
129,125
175,127
131,147
125,324
120,84
202,126
191,482
38,166
146,131
68,223
18,123
117,465
83,49
177,401
211,483
64,80
137,484
172,424
71,485
135,448
211,486
24,316
45,426
161,26
38,356
1,401
142,487
18,240
128,60
94,488
220,112
196,452
69,215
228,489
62,448
160,8
72,305
150,64
147,21
140,392
93,70
152,186
233,162
183,490
101,296
72,186
2,51
5,491
148,359
120,492
18,133
55,206
28,128
121,59
130,401
218,493
55,48
45,95
62,494
29,335
228,495
72,496
203,145
172,167
148,43
9,182
0,497
63,57
248,422
141,166
70,321
31,71
22,125
249,283
24,15
35,498
56,73
96,184
178,324
130,166
34,59
250,336
160,126
251,499
208,128
232,168
49,395
65,500
183,126
252,90
96,501
24,502
199,263
120,503
181,480
253,318
178,463
26,2
227,425
29,504
60,26
24,437
2,505
18,107
12,131
243,114
30,160
5,506
183,507
42,508
29,149
